,Entity,Code,Year,Hydro (TWh growth – sub method),color
394,Belgium,BEL,1968,0.017,D
395,Belgium,BEL,1969,-0.039,E
396,Belgium,BEL,1970,0.044000000000000004,D
397,Belgium,BEL,1971,-0.311,E
398,Belgium,BEL,1972,0.128,D
399,Belgium,BEL,1973,-0.025,E
400,Belgium,BEL,1974,0.192,D
401,Belgium,BEL,1975,-0.158,E
402,Belgium,BEL,1976,-0.20600000000000002,E
403,Belgium,BEL,1977,0.319,D
404,Belgium,BEL,1978,-0.003,E
405,Belgium,BEL,1979,0.031,D
406,Belgium,BEL,1980,0.122,D
407,Belgium,BEL,1981,0.28600000000000003,D
408,Belgium,BEL,1982,-0.133,E
409,Belgium,BEL,1983,0.008,D
410,Belgium,BEL,1984,0.042,D
411,Belgium,BEL,1985,-0.17800000000000002,E
412,Belgium,BEL,1986,0.156,D
413,Belgium,BEL,1987,0.239,D
414,Belgium,BEL,1988,-0.19399999999999998,E
415,Belgium,BEL,1989,-0.15,E
416,Belgium,BEL,1990,-0.10800000000000001,E
417,Belgium,BEL,1991,-0.10300000000000001,E
418,Belgium,BEL,1992,0.311,D
419,Belgium,BEL,1993,-0.242,E
420,Belgium,BEL,1994,0.256,D
421,Belgium,BEL,1995,-0.022000000000000002,E
422,Belgium,BEL,1996,-0.275,E
423,Belgium,BEL,1997,0.183,D
424,Belgium,BEL,1998,0.233,D
425,Belgium,BEL,1999,-0.133,E
426,Belgium,BEL,2000,0.331,D
427,Belgium,BEL,2001,-0.061,E
428,Belgium,BEL,2002,-0.23,E
429,Belgium,BEL,2003,-0.314,E
430,Belgium,BEL,2004,0.185,D
431,Belgium,BEL,2005,-0.083,E
432,Belgium,BEL,2006,0.185,D
433,Belgium,BEL,2007,0.07400000000000001,D
434,Belgium,BEL,2008,0.049,D
435,Belgium,BEL,2009,-0.222,E
436,Belgium,BEL,2010,-0.047,E
437,Belgium,BEL,2011,-0.306,E
438,Belgium,BEL,2012,0.41200000000000003,D
439,Belgium,BEL,2013,0.053,D
440,Belgium,BEL,2014,-0.222,E
441,Belgium,BEL,2015,0.054000000000000006,D
442,Belgium,BEL,2016,0.125,D
443,Belgium,BEL,2017,-0.255,E
444,Belgium,BEL,2018,0.10400000000000001,D
445,Belgium,BEL,2019,-0.045,E
446,Brazil,BRA,1966,6.642,C
447,Brazil,BRA,1967,3.5639999999999996,D
448,Brazil,BRA,1968,3.781,D
449,Brazil,BRA,1969,5.95,C
450,Brazil,BRA,1970,19.747,B
451,Brazil,BRA,1971,9.439,C
452,Brazil,BRA,1972,20.783,B
453,Brazil,BRA,1973,20.025,B
454,Brazil,BRA,1974,21.636,B
455,Brazil,BRA,1975,18.355999999999998,B
456,Brazil,BRA,1976,29.517,A
457,Brazil,BRA,1977,29.353,A
458,Brazil,BRA,1978,25.739,A
459,Brazil,BRA,1979,38.428000000000004,A
460,Brazil,BRA,1980,34.242,A
461,Brazil,BRA,1981,5.1610000000000005,C
462,Brazil,BRA,1982,28.796999999999997,A
463,Brazil,BRA,1983,28.730999999999998,A
464,Brazil,BRA,1984,41.994,A
465,Brazil,BRA,1985,32.728,A
466,Brazil,BRA,1986,11.232999999999999,B
467,Brazil,BRA,1987,8.836,C
468,Brazil,BRA,1988,37.481,A
469,Brazil,BRA,1989,15.547,B
470,Brazil,BRA,1990,5.606,C
471,Brazil,BRA,1991,30.761,A
472,Brazil,BRA,1992,15.447000000000001,B
473,Brazil,BRA,1993,32.561,A
474,Brazil,BRA,1994,21.221999999999998,B
475,Brazil,BRA,1995,31.111,A
476,Brazil,BRA,1996,32.955999999999996,A
477,Brazil,BRA,1997,36.675,A
478,Brazil,BRA,1998,34.714,A
479,Brazil,BRA,1999,4.253,D
480,Brazil,BRA,2000,31.675,A
481,Brazil,BRA,2001,-106.296,H
482,Brazil,BRA,2002,45.178000000000004,A
483,Brazil,BRA,2003,48.162,A
484,Brazil,BRA,2004,35.792,A
485,Brazil,BRA,2005,39.316,A
486,Brazil,BRA,2006,24.625999999999998,B
487,Brazil,BRA,2007,61.136,A
488,Brazil,BRA,2008,-17.941,G
489,Brazil,BRA,2009,50.203,A
490,Brazil,BRA,2010,25.781999999999996,A
491,Brazil,BRA,2011,58.486999999999995,A
492,Brazil,BRA,2012,-40.188,H
493,Brazil,BRA,2013,-68.78699999999999,H
494,Brazil,BRA,2014,-50.665,H
495,Brazil,BRA,2015,-40.305,H
496,Brazil,BRA,2016,47.849,A
497,Brazil,BRA,2017,-30.646,H
498,Brazil,BRA,2018,39.475,A
499,Brazil,BRA,2019,22.005,B
500,Bulgaria,BGR,1966,0.027999999999999997,D
501,Bulgaria,BGR,1967,0.033,D
502,Bulgaria,BGR,1968,-1.992,E
503,Bulgaria,BGR,1969,1.483,D
504,Bulgaria,BGR,1970,0.8690000000000001,D
505,Bulgaria,BGR,1971,0.05,D
506,Bulgaria,BGR,1972,-0.20800000000000002,E
507,Bulgaria,BGR,1973,1.319,D
508,Bulgaria,BGR,1974,-1.361,E
509,Bulgaria,BGR,1975,1.036,D
